,Company,TICKER
0,3M Company,MMM
1,ACE Limited,ACE
2,ADC Telecommunications,ADCT
3,AES Corp.,AES
4,AFLAC Inc.,AFL
5,AT&T Inc.,T
6,Abbott Labs,ABT
7,Adobe Systems,ADBE
8,Advanced Micro Devices,AMD
9,Aetna Inc.,AET
10,Affiliated Computer,ACS
11,Agilent Technologies,A
12,Air Products & Chemicals,APD
13,Alcoa Inc,AA
14,Allegheny Energy,AYE
15,Allegheny Technologies Inc,ATI
16,"Allergan, Inc.",AGN
17,Allied Waste Industries,AW
18,Allstate Corp.,ALL
19,Altera Corp.,ALTR
20,"Altria Group, Inc.",MO
21,Amazon Corp.,AMZN
22,Ambac Financial Group,ABK
23,Ameren Corporation,AEE
24,American Electric Power,AEP
25,American Express,AXP
26,American Int'l. Group,AIG
27,American Tower Corp.,AMT
28,"Ameriprise Financial, Inc.",AMP
29,AmerisourceBergen Corp.,ABC
30,Amgen,AMGN
31,Anadarko Petroleum,APC
32,Analog Devices,ADI
33,Anheuser-Busch,BUD
34,Aon Corp.,AOC
35,Apache Corp.,APA
36,Apartment Investment & Mgmt,AIV
37,Apollo Group,APOL
38,Apple Inc.,AAPL
39,Applera Corp-Applied Biosystems Group,ABI
40,Applied Materials,AMAT
41,Archer-Daniels-Midland,ADM
42,Archstone-Smith Trust,ASN
43,Ashland Inc.,ASH
44,Assurant,AIZ
45,"AutoNation, Inc.",AN
46,AutoZone Inc.,AZO
47,"Autodesk, Inc.",ADSK
48,Automatic Data Processing Inc.,ADP
49,AvalonBay Communities,AVB
50,Avaya Inc.,AV
51,Avery Dennison Corp.,AVY
52,Avon Products,AVP
53,BB&T,BBT
54,BIOGEN IDEC Inc.,BIIB
55,BJ Services,BJS
56,BMC Software,BMC
57,Baker Hughes,BHI
58,Ball Corp.,BLL
59,Bank of America Corp.,BAC
60,Bank of New York Mellon,BK
61,Bard (C.R.) Inc.,BCR
62,"Barr Pharmaceuticals, Inc.",BRL
63,Bausch & Lomb,BOL
64,Baxter International Inc.,BAX
65,Bear Stearns Cos.,BSC
66,"Becton, Dickinson",BDX
67,Bed Bath & Beyond,BBBY
68,Bemis Company,BMS
69,"Best Buy Co., Inc.",BBY
70,"Big Lots, Inc.",BIG
71,"Biomet, Inc.",BMET
72,Black & Decker Corp.,BDK
73,Block H&R,HRB
74,Boeing Company,BA
75,Boston Properties,BXP
76,Boston Scientific,BSX
77,Bristol-Myers Squibb,BMY
78,Broadcom Corporation,BRCM
79,Brown-Forman Corp.,BF.B
80,Brunswick Corp.,BC
81,Burlington Northern Santa Fe,BNI
82,C.H. Robinson Worldwide,CHRW
83,"CA, Inc.",CA
84,CB Richard Ellis Group,CBG
85,CBS Corp.,CBS
86,CIGNA Corp.,CI
87,CIT Group,CIT
88,CMS Energy,CMS
89,CONSOL Energy Inc.,CNX
90,CSX Corp.,CSX
91,CVS/Caremark Corporation,CVS
92,Campbell Soup,CPB
93,Capital One Financial,COF
94,"Cardinal Health, Inc.",CAH
95,Carnival Corp.,CCL
96,Caterpillar Inc.,CAT
97,Celgene Corp.,CELG
98,CenterPoint Energy,CNP
99,Centex Corp.,CTX
100,CenturyTel,CTL
101,Charles Schwab,SCHW
102,Chesapeake Energy,CHK
103,Chevron Corp.,CVX
104,Chicago Mercantile Exchange,CME
105,Chubb Corp.,CB
106,Ciena Corp.,CIEN
107,Cincinnati Financial,CINF
108,Cintas Corporation,CTAS
109,Circuit City Group,CC
110,Cisco Systems,CSCO
111,Citigroup Inc.,C
112,Citizens Communications,CZN
113,Citrix Systems,CTXS
114,Clear Channel Communications,CCU
115,Clorox Co.,CLX
116,"Coach, Inc.",COH
117,Coca Cola Co.,KO
118,Coca-Cola Enterprises,CCE
119,Cognizant Technology Solutions,CTSH
120,Colgate-Palmolive,CL
121,Comcast Corp.,CMCSA
122,Comerica Inc.,CMA
123,Commerce Bancorp,CBH
124,Computer Sciences Corp.,CSC
125,Compuware Corp.,CPWR
126,"ConAgra Foods, Inc.",CAG
127,ConocoPhillips,COP
128,Consolidated Edison,ED
129,Constellation Brands,STZ
130,Constellation Energy Group,CEG
131,Convergys Corp.,CVG
132,"Cooper Industries, Ltd.",CBE
133,Corning Inc.,GLW
134,Costco Co.,COST
135,Countrywide Financial Corp.,CFC
136,Coventry Health Care Inc.,CVH
137,Cummins Inc.,CMI
138,D.R. Horton,DHI
139,DIRECTV Group Inc.,DTV
140,DTE Energy Co.,DTE
141,Danaher Corp.,DHR
142,Darden Restaurants,DRI
143,Dean Foods,DF
144,Deere & Co.,DE
145,Dell Inc.,DELL
146,Devon Energy Corp.,DVN
147,Dillard Inc.,DDS
148,Dollar General,DG
149,Dominion Resources,D
150,Donnelley (R.R.) & Sons,RRD
151,Dover Corp.,DOV
152,Dow Chemical,DOW
